# Bundled offline fallback calendar for the news-guard blackout gate.
# Used only when the live Forex Factory feed is unreachable.
# Approximate anchors for recurring high-impact US/EU/UK prints (FOMC, NFP,
# CPI, ECB, BoE). Coarse safety net, not gospel: the live feed
# (https://nfs.faireconomy.media/ff_calendar_thisweek.json) is the source of
# truth when online. Times are ISO-8601 with explicit UTC offset.
# Columns: title,currency,impact,datetime
title,currency,impact,datetime
US Non-Farm Payrolls,USD,High,2026-07-02T13:30:00+00:00
US CPI y/y,USD,High,2026-07-14T12:30:00+00:00
FOMC Statement & Rate Decision,USD,High,2026-07-29T18:00:00+00:00
FOMC Press Conference,USD,High,2026-07-29T18:30:00+00:00
ECB Main Refinancing Rate,EUR,High,2026-07-16T12:15:00+00:00
ECB Press Conference,EUR,High,2026-07-16T12:45:00+00:00
UK CPI y/y,GBP,High,2026-07-15T06:00:00+00:00
BoE Official Bank Rate,GBP,High,2026-08-06T11:00:00+00:00
US Non-Farm Payrolls,USD,High,2026-08-07T12:30:00+00:00
US CPI y/y,USD,High,2026-08-12T12:30:00+00:00
